"record_id","partition"
"RW0001","holdout"
"RW0002","training"
"RW0003","training"
"RW0004","training"
"RW0005","training"
"RW0006","training"
"RW0007","training"
"RW0008","training"
"RW0009","training"
"RW0010","training"
"RW0011","training"
"RW0012","training"
"RW0013","training"
"RW0014","training"
"RW0015","training"
"RW0016","training"
"RW0017","training"
"RW0018","training"
"RW0019","training"
"RW0020","training"
"RW0021","holdout"
"RW0022","training"
"RW0023","training"
"RW0024","training"
"RW0025","training"
"RW0026","holdout"
"RW0027","training"
"RW0028","training"
"RW0029","training"
"RW0030","training"
"RW0031","training"
"RW0032","holdout"
"RW0033","training"
"RW0034","training"
"RW0035","training"
"RW0036","training"
"RW0037","training"
"RW0038","holdout"
"RW0039","holdout"
"RW0040","training"
"RW0041","training"
"RW0042","training"
"RW0043","training"
"RW0044","training"
"RW0045","holdout"
"RW0046","training"
"RW0047","holdout"
"RW0048","holdout"
"RW0049","training"
"RW0050","training"
"RW0051","training"
"RW0052","holdout"
"RW0053","training"
"RW0054","training"
"RW0055","training"
"RW0056","holdout"
"RW0057","training"
"RW0058","training"
"RW0059","training"
"RW0060","training"
"RW0061","training"
"RW0062","training"
"RW0063","training"
"RW0064","training"
"RW0065","training"
"RW0066","training"
"RW0067","training"
"RW0068","training"
"RW0069","training"
"RW0070","training"
"RW0071","holdout"
"RW0072","training"
"RW0073","training"
"RW0074","training"
"RW0075","holdout"
"RW0076","training"
"RW0077","training"
"RW0078","training"
"RW0079","training"
"RW0080","training"
"RW0081","training"
"RW0082","training"
"RW0083","training"
"RW0084","training"
"RW0085","training"
"RW0086","training"
"RW0087","training"
"RW0088","training"
"RW0089","training"
"RW0090","training"
"RW0091","holdout"
"RW0092","training"
"RW0093","training"
"RW0094","training"
"RW0095","training"
"RW0096","training"
"RW0097","training"
"RW0098","training"
"RW0099","training"
"RW0100","holdout"
"RW0101","training"
"RW0102","training"
"RW0103","training"
"RW0104","training"
"RW0105","training"
"RW0106","training"
"RW0107","holdout"
"RW0108","training"
"RW0109","training"
"RW0110","training"
"RW0111","training"
"RW0112","training"
"RW0113","training"
"RW0114","training"
"RW0115","holdout"
"RW0116","training"
"RW0117","training"
"RW0118","training"
"RW0119","training"
"RW0120","training"
"RW0121","training"
"RW0122","training"
"RW0123","training"
"RW0124","training"
"RW0125","training"
"RW0126","training"
"RW0127","training"
"RW0128","holdout"
"RW0129","holdout"
"RW0130","training"
"RW0131","holdout"
"RW0132","holdout"
"RW0133","holdout"
"RW0134","training"
"RW0135","training"
"RW0136","training"
"RW0137","holdout"
"RW0138","holdout"
"RW0139","training"
"RW0140","training"
"RW0141","training"
"RW0142","training"
"RW0143","training"
"RW0144","training"
"RW0145","training"
"RW0146","holdout"
"RW0147","training"
"RW0148","holdout"
"RW0149","holdout"
"RW0150","training"
"RW0151","training"
"RW0152","holdout"
"RW0153","training"
"RW0154","training"
"RW0155","training"
"RW0156","training"
"RW0157","training"
"RW0158","training"
"RW0159","training"
"RW0160","training"
"RW0161","training"
"RW0162","training"
"RW0163","holdout"
"RW0164","training"
"RW0165","training"
"RW0166","training"
"RW0167","training"
"RW0168","training"
"RW0169","training"
"RW0170","training"
"RW0171","training"
"RW0172","training"
"RW0173","training"
"RW0174","training"
"RW0175","training"
"RW0176","training"
"RW0177","training"
"RW0178","training"
"RW0179","training"
