"record_id","partition"
"RW0001","training"
"RW0002","training"
"RW0003","training"
"RW0004","holdout"
"RW0005","training"
"RW0006","holdout"
"RW0007","holdout"
"RW0008","training"
"RW0009","training"
"RW0010","training"
"RW0011","training"
"RW0012","training"
"RW0013","training"
"RW0014","holdout"
"RW0015","holdout"
"RW0016","training"
"RW0017","training"
"RW0018","holdout"
"RW0019","holdout"
"RW0020","training"
"RW0021","holdout"
"RW0022","holdout"
"RW0023","training"
"RW0024","holdout"
"RW0025","training"
"RW0026","holdout"
"RW0027","training"
"RW0028","holdout"
"RW0029","training"
"RW0030","holdout"
"RW0031","training"
"RW0032","training"
"RW0033","training"
"RW0034","training"
"RW0035","training"
"RW0036","training"
"RW0037","training"
"RW0038","training"
"RW0039","holdout"
"RW0040","training"
"RW0041","training"
"RW0042","training"
"RW0043","training"
"RW0044","training"
"RW0045","training"
"RW0046","training"
"RW0047","holdout"
"RW0048","training"
"RW0049","holdout"
"RW0050","training"
"RW0051","training"
"RW0052","training"
"RW0053","training"
"RW0054","holdout"
"RW0055","training"
"RW0056","training"
"RW0057","training"
"RW0058","training"
"RW0059","holdout"
"RW0060","holdout"
"RW0061","training"
"RW0062","training"
"RW0063","holdout"
"RW0064","training"
"RW0065","training"
"RW0066","holdout"
"RW0067","training"
"RW0068","training"
"RW0069","training"
"RW0070","holdout"
"RW0071","training"
"RW0072","training"
"RW0073","training"
"RW0074","training"
"RW0075","holdout"
"RW0076","training"
"RW0077","training"
"RW0078","training"
"RW0079","training"
"RW0080","training"
"RW0081","training"
"RW0082","training"
"RW0083","training"
"RW0084","training"
"RW0085","training"
"RW0086","training"
"RW0087","training"
"RW0088","training"
"RW0089","holdout"
"RW0090","training"
"RW0091","training"
"RW0092","holdout"
"RW0093","training"
"RW0094","holdout"
"RW0095","training"
"RW0096","training"
"RW0097","training"
"RW0098","training"
"RW0099","training"
"RW0100","training"
"RW0101","holdout"
"RW0102","training"
"RW0103","training"
"RW0104","training"
"RW0105","training"
"RW0106","training"
"RW0107","training"
"RW0108","training"
"RW0109","training"
"RW0110","training"
"RW0111","training"
"RW0112","training"
"RW0113","training"
"RW0114","holdout"
"RW0115","training"
"RW0116","training"
"RW0117","training"
"RW0118","training"
"RW0119","training"
"RW0120","training"
"RW0121","training"
"RW0122","training"
"RW0123","training"
"RW0124","training"
"RW0125","training"
"RW0126","training"
"RW0127","training"
"RW0128","training"
"RW0129","training"
"RW0130","holdout"
"RW0131","holdout"
"RW0132","holdout"
"RW0133","training"
"RW0134","training"
"RW0135","holdout"
"RW0136","holdout"
"RW0137","training"
"RW0138","holdout"
"RW0139","training"
"RW0140","training"
"RW0141","training"
"RW0142","training"
"RW0143","training"
"RW0144","training"
"RW0145","holdout"
"RW0146","holdout"
"RW0147","training"
"RW0148","training"
"RW0149","training"
"RW0150","training"
"RW0151","training"
"RW0152","training"
"RW0153","holdout"
"RW0154","training"
"RW0155","training"
"RW0156","training"
"RW0157","holdout"
"RW0158","training"
"RW0159","holdout"
"RW0160","training"
"RW0161","training"
"RW0162","holdout"
"RW0163","training"
"RW0164","holdout"
"RW0165","holdout"
