"Variable","Role","Type","Description"
"fixed_acidity","Predictor","Numeric","Fixed acidity (g/dm3)"
"volatile_acidity","Predictor","Numeric","Volatile acidity (g/dm3)"
"citric_acid","Predictor","Numeric","Citric acid (g/dm3)"
"residual_sugar","Predictor","Numeric","Residual sugar (g/dm3)"
"chlorides","Predictor","Numeric","Chlorides (g/dm3)"
"free_sulfur_dioxide","Predictor","Numeric","Free sulfur dioxide (mg/dm3)"
"total_sulfur_dioxide","Predictor","Numeric","Total sulfur dioxide (mg/dm3)"
"density","Predictor","Numeric","Density (g/cm3)"
"ph","Predictor","Numeric","pH"
"sulphates","Predictor","Numeric","Potassium sulphate (g/dm3)"
"alcohol","Predictor","Numeric","Alcohol (% by volume)"
"quality","Response","Integer score","Median sensory score from wine experts (0--10 documented; 3--8 observed)"
