"Variable","N","Mean","SD","Min","Q1","Median","Q3","Max","Skewness"
"fixed_acidity",1088,8.31553308823529,1.74376731892922,4.6,7.1,7.9,9.225,15.9,0.924512061501957
"volatile_acidity",1088,0.531254595588235,0.18514412317167,0.16,0.39,0.52,0.64,1.58,0.80773755198583
"citric_acid",1088,0.273226102941176,0.195425552634545,0,0.09,0.26,0.43,0.79,0.263147796660646
"residual_sugar",1088,2.52063419117647,1.33101812799269,0.9,1.9,2.2,2.6,15.5,4.67673341304806
"chlorides",1088,0.0876930147058824,0.0484002351879428,0.012,0.07,0.079,0.09,0.611,5.42125403447707
"free_sulfur_dioxide",1088,15.8304227941176,10.3446790897376,1,7,14,21,68,1.19194111583212
"total_sulfur_dioxide",1088,46.6907169117647,33.3783084904319,6,22,38,63,289,1.61046513426195
"density",1088,0.996694770220588,0.00186835309227663,0.99007,0.9956,0.9967,0.9978,1.00369,0.0134238497457848
"ph",1088,3.31011948529412,0.156315924725621,2.86,3.21,3.31,3.4,4.01,0.258174103344859
"sulphates",1088,0.659577205882353,0.172296052294717,0.33,0.55,0.62,0.73,1.98,2.33849944881867
"alcohol",1088,10.4556219362745,1.10091902231452,8.4,9.5,10.2,11.2,14.9,0.854420031852033
"quality",1088,5.625,0.824531870753196,3,5,6,6,8,0.197986647857675
