"Variable","IQR_Flags","Percent","Lower_Fence","Upper_Fence"
"fixed_acidity",31,2.84926470588235,3.9125,12.4125
"volatile_acidity",18,1.65441176470588,0.015,1.015
"citric_acid",0,0,-0.42,0.94
"residual_sugar",98,9.00735294117647,0.85,3.65
"chlorides",80,7.35294117647059,0.04,0.12
"free_sulfur_dioxide",21,1.93014705882353,-14,42
"total_sulfur_dioxide",34,3.125,-39.5,124.5
"density",28,2.57352941176471,0.9923,1.0011
"ph",23,2.11397058823529,2.925,3.685
"sulphates",46,4.22794117647059,0.28,1
"alcohol",7,0.643382352941176,6.95,13.75
