"Variable","Correlation_with_quality","Absolute_correlation"
"alcohol",0.498786068114842,0.498786068114842
"volatile_acidity",-0.401161643609211,0.401161643609211
"sulphates",0.26419295530801,0.26419295530801
"citric_acid",0.248275358844717,0.248275358844717
"total_sulfur_dioxide",-0.184106014034652,0.184106014034652
"density",-0.174473865793251,0.174473865793251
"fixed_acidity",0.131320095720699,0.131320095720699
"chlorides",-0.124027500899076,0.124027500899076
"ph",-0.0682455689198078,0.0682455689198078
"free_sulfur_dioxide",-0.0653812113651362,0.0653812113651362
"residual_sugar",0.0588616093943869,0.0588616093943869
