"Variable","Raw_Skewness","IQR_Flags","Winsor_Lower","Winsor_Upper","Transformation"
"fixed_acidity",0.924512061501957,31,5.1,13.213,"standardize"
"volatile_acidity",0.80773755198583,18,0.2,1.04,"standardize"
"citric_acid",0.263147796660646,0,0,0.711299999999999,"standardize"
"residual_sugar",4.67673341304806,98,1.4,8.3,"log1p + standardize"
"chlorides",5.42125403447707,80,0.04187,0.373159999999996,"log1p + standardize"
"free_sulfur_dioxide",1.19194111583212,21,3,48.2599999999998,"log1p + standardize"
"total_sulfur_dioxide",1.61046513426195,34,8,144.13,"log1p + standardize"
"density",0.0134238497457848,28,0.99182,1.0014,"standardize"
"ph",0.258174103344859,23,2.93,3.6913,"standardize"
"sulphates",2.33849944881867,46,0.4287,1.3126,"log1p + standardize"
"alcohol",0.854420031852033,7,9,13.571,"standardize"
