"Feature","Correlation_with_quality","VIF","OLS_standardized_coefficient","Stepwise_AIC_retained"
"alcohol",0.501432942011344,3.55908653710611,0.297016020780815,"Yes"
"volatile_acidity",-0.398383311609623,1.75012167428029,-0.186601408120122,"Yes"
"sulphates",0.308453235816448,1.46913374386076,0.186279377278984,"Yes"
"citric_acid",0.248562210869932,3.04636600255195,-0.0322207341591141,"No"
"total_sulfur_dioxide",-0.178530429611427,3.37814340661943,-0.10037191316915,"Yes"
"density",-0.173418870075601,7.0113365479643,-0.0524796106637931,"No"
"fixed_acidity",0.136334362570179,8.07476066334824,0.0537252139709481,"No"
"chlorides",-0.134016469136236,1.43479674217358,-0.0873166292143962,"Yes"
"residual_sugar",0.0698579558755366,1.79410255876487,0.04478171037199,"No"
"ph",-0.0697544267197137,3.42333870793441,-0.0638946105713512,"Yes"
"free_sulfur_dioxide",-0.0671010452426124,3.01334208754339,0.0516989736866475,"Yes"
