"Feature","OLS","Ridge","Lasso","Elastic_Net"
"fixed_acidity",0.0537252139709481,0.0593957060378937,0,0
"volatile_acidity",-0.186601408120122,-0.176330209938476,-0.17725524161277,-0.177000763805669
"citric_acid",-0.0322207341591141,-0.0133658605752531,0,0
"residual_sugar",0.04478171037199,0.0465919182038378,0.0141613166881073,0.0149378601279907
"chlorides",-0.0873166292143962,-0.0844964860718857,-0.0771131812353998,-0.0777277710913141
"free_sulfur_dioxide",0.0516989736866475,0.0404504793162864,0.00601600740866581,0.00861498611126062
"total_sulfur_dioxide",-0.10037191316915,-0.0906003910652518,-0.0557963142844053,-0.0586144087385927
"density",-0.0524796106637931,-0.0669712070618142,0,0
"ph",-0.0638946105713512,-0.0492602398972188,-0.0604067094497998,-0.0608775592166448
"sulphates",0.186279377278984,0.179542432977493,0.164987294401897,0.165262564394693
"alcohol",0.297016020780815,0.275883793470754,0.323460626929855,0.3221506839447
