"Variable","N","Mean","SD","Min","Q1","Median","Q3","Max","Skewness"
"fixed_acidity",1088,8.25928308823529,1.71331874533001,4.6,7.1,7.85,9.1,15.9,0.954742884414982
"volatile_acidity",1088,0.529301470588235,0.181182914476767,0.12,0.39,0.52,0.64,1.58,0.754981801884108
"citric_acid",1088,0.270900735294118,0.194395998685381,0,0.09,0.26,0.42,1,0.3213733763245
"residual_sugar",1088,2.55795036764706,1.44457196409452,1.2,1.9,2.2,2.6,15.5,4.45269220618913
"chlorides",1088,0.0889310661764706,0.0518292596192543,0.012,0.07,0.079,0.091,0.611,5.44801985099264
"free_sulfur_dioxide",1088,16.15625,10.6382101708593,1,8,14,22,72,1.2646425002134
"total_sulfur_dioxide",1088,47.3478860294118,33.7159869856379,6,22,38,64.25,289,1.56913175399984
"density",1088,0.996692334558824,0.00185537154243039,0.9902,0.99562,0.9967,0.9978,1.00369,0.0522214392394763
"ph",1088,3.31228860294118,0.154632845203436,2.74,3.21,3.31,3.4,4.01,0.195931256126396
"sulphates",1088,0.661332720588235,0.17584901829594,0.37,0.55,0.62,0.73,2,2.53448160818077
"alcohol",1088,10.427650122549,1.08799030789835,8.4,9.5,10.1,11.1,14.9,0.875826348741038
"quality",1088,5.625,0.824531870753196,3,5,6,6,8,0.197986647857675
