"Variable","IQR_Flags","Percent","Lower_Fence","Upper_Fence"
"fixed_acidity",34,3.125,4.1,12.1
"volatile_acidity",16,1.47058823529412,0.015,1.015
"citric_acid",1,0.0919117647058823,-0.405,0.915
"residual_sugar",109,10.0183823529412,0.85,3.65
"chlorides",75,6.89338235294118,0.0385,0.1225
"free_sulfur_dioxide",22,2.02205882352941,-13,43
"total_sulfur_dioxide",31,2.84926470588235,-41.375,127.625
"density",29,2.66544117647059,0.99235,1.00107
"ph",24,2.20588235294118,2.925,3.685
"sulphates",46,4.22794117647059,0.28,1
"alcohol",10,0.919117647058824,7.1,13.5
