"Variable","Correlation_with_quality","Absolute_correlation"
"alcohol",0.471884206605682,0.471884206605682
"volatile_acidity",-0.373765045002945,0.373765045002945
"sulphates",0.225266850651107,0.225266850651107
"citric_acid",0.216537797504259,0.216537797504259
"density",-0.175390177035724,0.175390177035724
"total_sulfur_dioxide",-0.161078904701541,0.161078904701541
"chlorides",-0.128391047126051,0.128391047126051
"fixed_acidity",0.115778005918437,0.115778005918437
"free_sulfur_dioxide",-0.0532005960862948,0.0532005960862948
"ph",-0.0470895963945034,0.0470895963945034
"residual_sugar",0.0244792131960983,0.0244792131960983
