"Variable","Raw_Skewness","IQR_Flags","Winsor_Lower","Winsor_Upper","Transformation"
"fixed_acidity",0.954742884414982,34,5.1,12.9,"standardize"
"volatile_acidity",0.754981801884108,16,0.2,1.02695,"standardize"
"citric_acid",0.3213733763245,1,0,0.701299999999999,"standardize"
"residual_sugar",4.45269220618913,109,1.4,8.62599999999998,"log1p + standardize"
"chlorides",5.44801985099264,75,0.042,0.388819999999998,"log1p + standardize"
"free_sulfur_dioxide",1.2646425002134,22,3,51,"log1p + standardize"
"total_sulfur_dioxide",1.56913175399984,31,8,147,"log1p + standardize"
"density",0.0522214392394763,29,0.9918983,1.001413,"standardize"
"ph",0.195931256126396,24,2.9387,3.71,"standardize"
"sulphates",2.53448160818077,46,0.43,1.3126,"log1p + standardize"
"alcohol",0.875826348741038,10,9,13.413,"standardize"
