"Feature","Correlation_with_quality","VIF","OLS_standardized_coefficient","Stepwise_AIC_retained"
"alcohol",0.475045914636688,3.51083318911917,0.312461947190662,"Yes"
"volatile_acidity",-0.368562214920616,1.82865764032252,-0.189417455107795,"Yes"
"sulphates",0.280461023885306,1.50791809464721,0.179212329388049,"Yes"
"citric_acid",0.220153088750246,3.22509349825252,-0.0607288880012012,"No"
"density",-0.176997036511149,6.99306044854407,-0.0166539882769154,"No"
"total_sulfur_dioxide",-0.157239357949093,3.33494139691948,-0.0894698867279192,"Yes"
"chlorides",-0.133223015094702,1.52535137239744,-0.0875905227191934,"Yes"
"fixed_acidity",0.116303028248435,7.90285924550139,0.0423857271115948,"No"
"ph",-0.0498044677451074,3.40856186945543,-0.0756182193006842,"Yes"
"free_sulfur_dioxide",-0.0474179293970386,3.01145081693637,0.0576612535370615,"Yes"
"residual_sugar",0.0354170207105613,1.83388383900798,0.0126009308389958,"No"
