"Feature","OLS","Ridge","Lasso","Elastic_Net"
"fixed_acidity",0.0423857271115948,0.0575336598449009,0.0159445160791942,0.016514074104774
"volatile_acidity",-0.189417455107795,-0.172521755858902,-0.179908854134653,-0.179945199484303
"citric_acid",-0.0607288880012012,-0.0312814337407889,-0.0330393382374616,-0.0335816243051924
"residual_sugar",0.0126009308389958,0.0212733608826145,0,0
"chlorides",-0.0875905227191934,-0.0847652659391696,-0.0842402714809782,-0.0844038615673879
"free_sulfur_dioxide",0.0576612535370615,0.0439699408576301,0.0357085783130168,0.0367164685798477
"total_sulfur_dioxide",-0.0894698867279192,-0.078388504106269,-0.0688993957383092,-0.0698781795382037
"density",-0.0166539882769154,-0.0489003066915046,0,0
"ph",-0.0756182193006842,-0.0509432897875417,-0.0706878066428014,-0.07076822425911
"sulphates",0.179212329388049,0.172703940422729,0.169132067227044,0.169221596829366
"alcohol",0.312461947190662,0.276207540204635,0.317907523034608,0.317478108593374
